name|line
???|Hey, what are you mumbling about?
???|Okarin? Earth to Okarin!
???|You talking to someone?
Rintaro|...No, I was just talking to someone. Everything’s fine. I’m about to infiltrate the assembly hall.
Rintaro|Yeah, Doctor Nakabachi got the jump on us, but I’ll make sure he tells us everything.
Rintaro|What!? The Organization is already on the move!?
Rintaro|I see... so that’s the choice of Steins Gate. El Psy Kongroo.
Mayuri|Who was that on the phone?
Rintaro|If I told you, I’d have to kill you.
Mayuri|Oh, wow. Thanks, Okarin!
Mayuri|Okarin! Okarin!
Rintaro|How many times do I have to tell you? Don’t call me Okarin.
Mayuri|Huh? But I’ve always called you that.
Rintaro|That was then! I have since become Hououin Kyouma, the insane mad scientist hunted by secret organizations the world over. Muhahaha!
Mayuri|But that’s too hard to remember.
Mayuri|And besides, it doesn’t even sound like Okabe Rintaro. You’re weird, ehehe!
Mayuri|So, Okarin, can I ask you something?
Mayuri|What are we doing here?
Rintaro|Wait. You followed me here without knowing why?
Mayuri|Yup.
Rintaro|We’re here for Doctor Nakabachi’s press conference.
Mayuri|Press conference? But where are the reporters?
Rintaro|Could this be the Organization working its twisted influence?
Rintaro|I’d prefer not to get wrapped up in his mess.
Mayuri|You wrapped something? Is it his birthday too? Ehehe!
Rintaro|Keep your guard up, Mayuri. I suspect this won’t be a normal confer--
Mayuri|An earthquake? Is it magnitude 2? What does magnitude mean again?
Rintaro|An explosion!?
Rintaro|What the...
Woman|Please stay back, everybody!
Woman|The press conference will proceed as scheduled!
Rintaro|I’ve got a nose for conspiracies, and this stinks of a coverup. What are they hiding? What was that explosion?
Rintaro|It’s me. I’ve got a bad feeling about this. Something’s happening, and I have no idea what it is.
Rintaro|...Yeah, I know. Don’t worry. I won’t do anything to jeopardize the mission. El Psy Kongroo.
Rintaro|What are you doing?
Mayuri|Hmm?
Mayuri|Well... I really want an Upa.
Rintaro|Then go for it. I can’t guarantee you’ll get an Upa, though.
Mayuri|But Mayushii’s all out of 100-yen coins.
Mayuri|So, can I borrow 100 yen? Please?
Rintaro|Do you think it’s that easy, Mayuri? You’ll get no money from me. Instead, I’ll show you just how harsh life really is.
Mayuri|Ah, ahh...
Mayuri|It’s an Upa! And it’s metal! A Metal Upa!
Rintaro|Is it rare?
Mayuri|Super rare!
Boy|Aw, a normal Upa...
Rintaro|Hmph. I give this creature of metal to you, Mayuri.
Mayuri|Really!? Are you sure, Okarin?
Rintaro|The name’s Hououin Kyouma!
Mayuri|Ehehe! Thank you, Okarin.
Rintaro|...
Presenter|Thank you all for coming to Doctor Nakabachi’s Time Machine Press Conference.
Rintaro|Sounds like they’re starting.
Rintaro|Let’s go, Mayuri.
Mayuri|Mm... just a sec. I gotta write my name.
Presenter|Without further ado, I am pleased to introduce the inventor, Doctor Nakabachi! Please welcome him with a big round of applause!
Nakabachi|I am Doctor Nakabachi. Thank you all for coming.
Nakabachi|Now then, ladies and gentlemen, allow me to begin with my theory of time travel, the greatest scientific breakthrough of the century.
Mayuri|Did he really build a time machine?
Rintaro|DOOOOOCTOOOOOOOORRR!!
Rintaro|Do you take us for fools!?
Nakabachi|Who the hell are you?
Rintaro|Who the hell am I!? Someone who knows you for a fraud, that’s who!
Rintaro|You stole your theory from John Titor! And you call yourself an inventor!?
Nakabachi|S-someone throw this man out!
Rintaro|You’re the one we should throw out, Doctor! Have you no shame!? You have no right to call yourself an inventor!
Nakabachi|Shut your mouth, you little pest!
Rintaro|Unhand me, you... huh?
???|...
Rintaro|Ah...
Kurisu|Could you come with me for a moment?
Rintaro|Y-you’re with the Organization!?
Kurisu|Huh?
Rintaro|If their tendrils have gotten this far, then I’ve made a grave mistake.
Kurisu|Stop fooling around and come with me.
Rintaro|...
Rintaro|Try anything and people are sure to notice. What will your superiors say then?
Kurisu|What are you talking about?
Kurisu|I just need to ask you something.
Rintaro|What makes you think I’ll answer? I know how the Organization operates.
Kurisu|What’s with this ’Organization’ stuff?
Rintaro|It’s me. I’ve been caught by an Organization agent. ...Yes, it’s Makise Kurisu. She’s a dangerous one. ...No, it’s fine. I’ll find a way to--
Kurisu|...
Rintaro|What are you doing!?
Kurisu|Huh? Your phone’s off.
Rintaro|...
Kurisu|...Who were you talking to?
Rintaro|Y-your techniques don’t work on me, but I’ll tell you anyway. That’s no ordinary phone. It’s designed to deactivate the moment it leaves my hand. Muhahaha!
Kurisu|...So you talk to yourself.
Rintaro|Guh!
Kurisu|What were you trying to tell me earlier?
Rintaro|What are you talking about?
Kurisu|About fifteen minutes ago. Before the conference started.
Kurisu|You were trying to tell me something, right? You looked really upset.
Kurisu|You looked like you were going to start crying any second.
Kurisu|Why? Have we met before?
Kurisu|And how do you know my name?
Rintaro|My knowledge has no limits.
Rintaro|Genius girl, our next meeting shall be as enemies!
Kurisu|Huh?
Rintaro|Farewell! Muhahaha!
Rintaro|Damn the Organization! They must be serious if they’re sending in agents like her!
Rintaro|But I can’t let them capture me yet.
Rintaro|...Damn. I left Mayuri behind.
Rintaro|Hm? An email?
Rintaro|...Hm?
Rintaro|Dammit, Mayuri. Why won’t you pick up?
Rintaro|Wait, don’t tell me! Did that femme fatale kidnap Mayuri!?
Rintaro|Damn you! Is that how the Organization operates!?
Rintaro|I have to go back for her.
Rintaro|Heh, looks like I scared her off.
Rintaro|So be it. I’ll let her go this time.
Rintaro|Mayuri! Why didn’t you pick up? We’re leaving.
Mayuri|Okarin! My Metal Upa ran away.
Rintaro|Ran away? What, it’s alive? That’s a little hard to believe.
Mayuri|I think I dropped it...
Rintaro|Forget about it. You can always get another one.
Mayuri|No way. Metal Upas sell upwards of 10,000 yen online, you know?
Rintaro|Wait... what?
Rintaro|Think, Mayuri! Where did you drop it!?
Mayuri|I don’t know! That’s why I’m looking. And even if we find it, you can’t sell it, okay?
Rintaro|Muhahaha! That 10,000 yen will fund my research!
Mayuri|I said you can’t sell it! It even has Mayushii’s name on it.
Mayuri|Tutturu♪ Upa, Upa, come out, come out, wherever you are!
Rintaro|What kind of man steals a helpless girl’s toy? Is there nothing in his heart but the lust for money!?
Mayuri|Sounds like you, Okarin!
???|AHHHHHHHHHHH!
Rintaro|!?
Mayuri|Was that a scream?
Rintaro|Stay here, Mayuri!
Rintaro|Wha...
Rintaro|No... but... why?
Presenter|Uwahhh!
Presenter|Call the police!
Mayuri|What happened, Okarin?
Rintaro|W-we’re leaving!
Rintaro|Haah, haah...
Mayuri|Hey, what happened? You look really pale...
Rintaro|Someone... died.
Mayuri|Eh...
Rintaro|Wha!?
Rintaro|They’re gone...
Rintaro|Hey, you. Can you see us?
Rintaro|Why won’t you answer? I’m asking you a question. Yes, you on the other side of the monitor.
Rintaro|Hmph. Your silence only strengthens my hypothesis.
Rintaro|I suppose that, from your perspective, it appears that we are the ones inside the monitor. Heh heh heh, but that’s where you’re wrong!
Rintaro|For it is you who are inside! Your reality is nothing but lies and shadows. Naturally, that includes you, too.
Rintaro|True reality is on this side of the screen.
Rintaro|Don’t believe me? I don’t blame you. Few are those who can handle the truth.
Rintaro|But no matter. I shall speak in simpler terms, easy enough for even you to understand.
Rintaro|This is the Future Gadget Laboratory, located in the Akihabara district of Tokyo. We call it simply... the lab. Our purpose is to shatter the System and plunge the world into chaos.
Mayuri|Really? You shouldn’t do bad things, Okarin.
Rintaro|Quiet. I’m a mad scientist, remember?
Rintaro|From the station, head down Chuo-dori until you reach Suehirocho Station, then take a left onto Kuramaebashi-dori. In the alley before the traffic light, you’ll find the run-down Ohiyama Building. The lab is on the second floor.
